step,seed,method,selected_region,selected_x,observed_y,val_error_before,val_error_after,achieved_lp,region_0_samples,region_0_val_error,region_0_uncertainty,region_0_lp,region_0_noise_risk,region_0_status,region_1_samples,region_1_val_error,region_1_uncertainty,region_1_lp,region_1_noise_risk,region_1_status,region_2_samples,region_2_val_error,region_2_uncertainty,region_2_lp,region_2_noise_risk,region_2_status,region_3_samples,region_3_val_error,region_3_uncertainty,region_3_lp,region_3_noise_risk,region_3_status,region_4_samples,region_4_val_error,region_4_uncertainty,region_4_lp,region_4_noise_risk,region_4_status,later_mastered,later_blocked_noisy,final_status_of_selected
0,5,HighestError,0,0.6100058474907604,1.6757951546873837,1.0,1.0,0.0,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
1,5,HighestError,0,0.030651122084284,0.5134137758037806,1.0,1.0,0.0,1,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
2,5,HighestError,0,-0.8921385952366871,-1.265789936716051,1.0,1.0,0.0,2,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
3,5,HighestError,0,-0.1830535891600027,0.16211664453042315,1.0,1.0,0.0,3,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
4,5,HighestError,0,-0.1830535891600027,0.1942420345114317,1.0,1.0,0.0,4,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
5,5,HighestError,0,-0.1830535891600027,0.15658052564973965,1.0,1.0,0.0,5,1.0,1.0,0.1,0.00025801017035797125,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
6,5,HighestError,0,0.30473822317597543,1.1343828963015787,1.0,1.0,0.0,6,1.0,1.0,0.1,0.000275675393714695,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
7,5,HighestError,0,-0.13010489554971594,0.21329780735534326,1.0,1.0,0.0,7,1.0,1.0,0.1,0.000275675393714695,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
8,5,HighestError,0,0.7953552162170976,2.113289085758267,1.0,1.0,0.0,8,1.0,1.0,0.1,0.000275675393714695,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
9,5,HighestError,0,-0.21519067133044367,0.08983382548137088,1.0,1.0959419895697204,-0.09594198956972044,9,1.0,1.0,0.1,0.000275675393714695,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,0,1.0,1.0,0.1,0.0,unexplored,False,False,learning
10,5,HighestError,3,0.7593023466698443,-0.29366991481397603,1.4380555620936024,1.3036636991732382,0.1343918629203642,10,1.0959419895697204,0.018046021461486816,0.1,0.000275675393714695,learning,0,0.203580749641227,0.020344680175185204,0.1,0.0,unexplored,0,0.6693423381391225,0.016168946400284767,0.1,0.0,unexplored,0,1.4380555620936024,0.029031172394752502,0.1,0.0,unexplored,0,0.0965432725284243,0.012542114593088627,0.1,0.0,unexplored,False,True,blocked_noisy
11,5,HighestError,3,-0.9629655646595785,1.2554399352377776,1.3036636991732382,1.1482928215915116,0.15537087758172663,10,0.8042194611825216,0.004740400705486536,0.2917225283871988,0.000275675393714695,learning,0,0.34330921009958154,0.009335575625300407,-0.13972846045835455,0.0,unexplored,0,0.5573148640518008,0.031469136476516724,0.11202747408732172,0.0,unexplored,1,1.3036636991732382,0.02107599563896656,0.1343918629203642,0.0,learning,0,0.1922699265372681,0.013370410539209843,-0.0957266540088438,0.0,unexplored,False,True,blocked_noisy
